akun;text
namaku_rizaa;sales IKN mulai jual tanah woyy..ntar lagi negara di jual nya
andreasbom2;😂😂😂😂😂
tikkapane;Astaghfirullah... Lgsg hampir 2 ABAD 😅😅😅😅
tito_ae_wess;Longor cuk.....
antonius_erik_budi;Hutan Kalimantan di hancurkan
pakpoo_kuy;"Mkin aneh"" astaga"
dilihat.naksir;Saking puyengnya nyari modal kagak kedapatan jadi gini 😢
girisantoso73;Wadduh..segitu nya demi investor..paraahhh
arisandikian;Makin makin
ikhwalputra2;Untuk 7 turunan
sunaryo3466;MERDEKAAAAAAA bagi pengusaha
yanaanob;dijogedin ajah...eeeeee....aaaaa...wilujeng...👏👏👏
ikhsanbonne;😂😂😂
chepycahyadi;Anjir 190 tahun 😢
dudiskandar;diobral abis2an ga laku
masjeee___;Eak eak hasil pilih presiden dari gorong2 🤣🤣🤣 ketawa aja la
dwi_ismadi;Silahkan berbuat semaumu , tapi ingat kamu akan mati dan mempertanggungjawabkan perbuatan mu 🔥🔥
susilo7995;Itu namanya dibeli bambang
zainurykimy88;😂😂😂😂 Soalnya gak masuk² investor ntar klo masih sepi bisa jadi 1000 tahun😂😂😂
rafilin007;Knpaa gak sekalian aja seumur hidup bumii aja sampai kiamat gtu
anandaadi0993;Angel angel 58%
zaki.ziki.1;Sama juga hak milik smp cucu cicit😂
carefast.id;mantapps
l_nathan.qwerty;Paling jadi kebun sawit
yonihaeroni;Ambil dah buat anak,putu,buyut, cangga wareng, udeg udeg, siwur, bledug, waton ! 😂
cv.faiq_baju_tactical_cs_alif;Maliiiinggggh 😢
isetiawan888;Pabrik mobil tanpa manusia bayangi pertanian sawah tanpa pateni orang dg robotik sdg mobil rumit bisa apalagi sawah yg simply
ocel77;Awww
isetiawan888;Byk duit butuh jgn mubazir nanti nyesal saat mau tp duit tk ada cuma isep jempol ae
diky_sapvtra;Siapaa yang di untungkan ini edannn
nyoman_ryzn;Gak sekalian 350thn kayak Belanda doloe, nanggung
gunturgunawan.tsi;Pengusaha pada bangkrut pak. Tengok pak!! Pengusaha local pada bangkrut!!! Pengusaha dari china maju
sun_go_kong_kong;Nikmat
edi.daryanto.752;Makin di obral murah negara inih,,Jokowi takut kalau jadi proyek mangkrak,,semoga IKN gagal total,,
pitermardanitl;Bisa dibatalkan klau SDH TDK berkuasa
churotul5;"Kebijakan yg ugal""an"
reni.ssnt;190 tahun?  Bisa sampeak 4 turunan itu. Sampek anaknya cicit😂😂
kangnanang76;😂😂190tahun..??😂😂😂
bennysenjaya;🤣🤣🤣☕☕☕
ukar_k;Jokowi takut banget IKN jadi proyek mangkrak
inunk_rofiq99;Rakyat kecil hanya bisa melongo....
inunk_rofiq99;Konoha plonga plongo bikin rakyat melongo
gieajo4;Obral di Obral sale
_riyanio;Jual negara
nce__koesnadi;Sama juga menjual negara itu mah pak presiden...klo bisa mah ditinjau ulang lagi untuk masa depan anak cucu dan bangsa indonesia😢🥹
aryan_nugraha;Menyala pak presiden ku 🔥🔥🔥jual negeri ini sebelum bapak habis masa jabatan.
jro_hendra;Berbagai cara dan trik di lakukan demi uang utk lanjut proyek wakaka siapa pengusaha yang berani  memulai dluan ???
sonny_pane;Warga negara asli dipersulit dan diusir..
iwan_setiawan.126;Ini baru Presiden, hebaaat
prasetiaromi;PUJA KERANG AJAIB 🐚🐚🐚🐚🐚🐚
zahrul_mubarak;190 tahun 6 keturunan jadi
teguh_sarono;Obral nih ye....
pattimuramuda_31;Para investor itu gk tertarik dengan IKN pak, jangan di rayu terus make hal-hal yg gk masuk akal!
dr_muhamad_luthfi_asyhar;👏👏
ransiherlambang;Iming iming HGU selama 95 tahun. Ini bukti selama ini tidak ada investor yang tertarik akan IKN
dudansiswanto;😂😂😂
muhtakdir09;190 tahun??? Kareplulah 😂
kangprie747;Lebih lengkapnya @kangprie747
yudi_mozza;Jual aja semua......kelak di yaumul hisab akan kau tanggung semua
komar_father;Calon hambalang ke 2 ??? 🔥
syarifuddin_88;Klu cuma kepres bisa diganti dg kepres baru oleh presisen baru yg berbeda haluan 😂
alvarendra_2913;Benarkah ramalan kartun simpson akan benar terjadi, pulau utara akan di penuhi warga singapura?? 🤷🏻‍♂️
roti_bakar_terbang;7 keturunan baru kelar ga tuh😂
arief_juara;Aneh Banget bjir
sriutami3696;Ini yg dipilih orang Indonesia utk jadi presiden liat nih tanah tumpah darahmu di gadaikan ke asemg
daus_ajja3009;Innallilahi,,dosa apa negeri ini sma mu pak?kok tega2 nya digadaikan sampai 190thn???😢
iin_dika_suprayitno;Apa ya DPR setuju sampai 190 tahun dulu di jajah sekarang diserahkan dng embel2 ,semudah itu kah?
sandiandiuno;HAHAHHAHAAAHHAA
ken_acek;2 generasi, begitu mau di ambil dah di bangun pabrik, sekolah dan perumahan 😂😂😂
qoeibxo;Teken 4
yasinsulistiawan;Ajor jum
ryus_giawa;Mereka yg punya kuasa pasti bisa
wempywemp;Wow
abdullah2_91;wah wah ... makin parah
baen_roses;Kok semua dirubah aturan dasar negara ini 😂😂
agw_82;Semogakan pak prabowo tdk melanjutkan program pemerintah sblmnya yg menyusahkan rakyatnya
herman_kurniawan01;1000 tahun aja sekalian..kontrak karya mirip Freeport yg gak bsa di gagalkan
budisi63;Klu tanah kakeknya gpp, ingat itu tanah negara  sampai matipun tetap nanggung dosa krn menyengsarakan ansk cucu, cicid, cangga kita krn  yg bikin perpres  terkait 190 thn ☝️
nurul_qomariyahhh;Lama2 jd zimbabwe beneran😢
ningtutwuri_;Dan jika rakyat menderita 190 th, akan menjadi dosa jariyah bapak  @jokowi sampe  waktunya hisab, tidak takut ya pak ? Mau akhir jabatan bikin negeri  jd rusak..ingay dosa jariyah dr  kesengsaraan yg di sebabkan kebijakan bapak ?
visiliavicky;freeport generasi baru
kamalpashamustafa;Sama model Freeport dulu, sudah teken Perpres maboklah penerusnya sampai hari ini..😌😒
nr.syipaa;Penjajahan legal
arief.ramadhan721;Apa ga lebih baik dikasih aja demi ambisi negara bakal dijual 😂😂😂
aldidwicahyo22;percuma berumur panjang kalo cuma buat ngerusak bumi kan pa 😢😢😢
edtede90;Punya pemimpin SDM rendah y gini 🤦🏻
modfirza;Sangat pro rakyat asing😂
davidboentoro;190 tahun... VOC abad 21-22 mana yang minat, ayoo 🔥
si_mantan94;Saking putus asanya cari investor, ya gadaikan saja wkwkw😂
yohana.terezia;😂😂😂 apapun akan kujual . Yang penting aku dan keluarga ku Sejahtera😂😂😂
gilangdwjt;Anies Baswedan Jika Jadi Presiden: BUMN Dilarang Cari UntungAnies Baswedan ingin mengembalikan BUMN sebagai korporasi milik negara yang tak berorientasi pada mencari keuntungan.
zhafira_almaira;Enak bgt yg pny duit, percuma dong dulu para pahlawan mati2 berperang klo ujungnya, ya sudahlah
art_dha;Dia begitu biar banyak dana yg masuk, karena keuangan indo mulai koleps nilai tukar AS juga tinggi 😂 jadi pak de jkw pusing
abiebambangadam22;Buat 7 turunan …😂😂😂
anton_roadcaptainhd;Gilaaaa
ely_syukuriah;Itu tandanya  dana IKN sdh sekarat
jopiefrdm;Makin dekat berakhir masa kuasa makin panik terkesan semberono tak pikir jangka panjang, hanya ingin meninggalkan legasi kenangan. Tapi sayangnya investor sepi minat. Sepertinya sangat kesulitan
zulbima;Presiden rasa raja... menjabat 10th kasih konsesi 190th😀😀
agungdj87;Ruwet karepe dewe
zoel_azham02;Pasti yg dimaksud akan dikelola oleh cina,krn pengusaha yg kaya cuma cina itu,arti y yg mau tinggal di IKN ngontrak semua
chuck_nur;Apa gak kurang ? 250 tahun sekalian
trainer.admma;Jangn kan cuman manusia. Setan yang berani melawan manusia hanya di film. 😂😂😂 Di knyataanya mereka tergusur😂
basukrisna2;Pokok nya ekonomi kita merokett
ssyahirawan;Astaqhfirullah
duni_f_a_manoppo;Makin di luar nurul kebijakannya!!!
eros.daniel77;itu usulan dari dpr apa emang dari presiden?
ardypaputungan;@jokowi  ini yg di maksud 'perjuangan kalian akan lebih sulit karna melawan bangsamu sendiri' yahhh benar karna skrang penjajah berkedok pmerintah
beruangmadu776689;Gak digenepin aja 200 tahun pakde...pasti kaum 58% sangat mendukung pakde
robbycentral_;Jangan percaya 😂😂😂
normanto_suci;🤣🤣🤣
zakariaalfarizi_n11;Ketika diceramahi mantan rektor pada ngeyel skrng baru ngehh kan 👏... Kasusnya hampir sama ma Freeport ketika sudah d sahkan negara mau bilang apa.
awg_alf;Penjajahan gaya baru, ciri ciri orang yang nggak pernah belajar dari sejarah 👏👏👏
abuabel92;1000 taon aja jing
yetty1502nur;Ya Allah ada ap dgn beliau ini!
el_lina07;Tar jg ikn nya mangkrak
rempeyekyangti;Astaghfirullah 😮
andi_mursad_abdi;Semakin aneh
ferry_oi87;Injury time seorang presiden apakah diperbolehkan mengambil kebijakan hingga 190 tahun kemudian?Cuma orang yang tak beretika saja yang mampu, suka suka gue dong.😂
fahmifatarul_huda;Presiden atau apaan ini ya. Kok jualannya empuk bgt. Kliatan kapasitasnya gak mampu jadi pemimpin. Ngotot bgt bangun sana sini tapi cuma dari hasil ngutang. Orang jawa bilang terlalu ngoyo
yayakmuhammadhaqqulyaqin;Lah nanti kayak freeport teringat sejarah freeport
occhio_daquila;Apakah tanah nkri sedang di gadaikan ke oligarki ? Apakah ini bisa di sebut dengan Neo kolonialisme ? Hmmm @jokowi ingat, NKRI bukan milik segilintir orang, apakah anda lupa dengan tragedi 98 dan jangan sampai itu terulang kembali hanya karena keserakahan oleh kelompok atau golongan.
kevin_fertario;Bisa mangkrak nih proyek😢
andyismanto8;Lucunya negeri ku😂
kevin_fertario;Semena2 ga sih ini???
higballfuji68;Macam lahan nenek moyang nya aja🤦🤦
banananaofficialy;Syarat dan ketentuan.nya apa nih.. juga mau daftar aah.. 😂😂
srjk717;Kejahatan yang tersetrukur dan di Legal kan di negeri konoha wakanda😂😮😂
syeefa_hasbullah;Diobral ampe segitunya dan msh blm laku… yaa allah 🙌
hanyakata1995;@khalfianyg cari cukong gadang disiko lai nteng
karmilasuryani;Koq pada diem sieeeh, emang ada umur sampai 190 tahun , secara nggak langsung itu mah sama dgn jual...
taqieen1;190 th tekan jaman sopo yo...🤔
fadil_al_karsad;Edaaaaaaaaaaan
kasri_syh;Atur aja apa yg bisa di akal2in.
soesanto_j;Filling ku kok mangkrak ya. .
raizanputra;Wkwkwkwk... Mamam garisss cuyy.. Tp buat hornag kahaya.. Buat warga Konoha.. Budakin aj..
rama_gusti;Ketawain aja
manggalasaya;Sampe kiamat aja pak HGU nya
fahmiy.afif;Wkwkw ujung2nya😂
adnan.2531;Hmmmmmmm😂😂😂😂
wedhoesgembel;Freeport ngehasilin emas, ikn hasilin apa? Koruptor?
vibersteack;Dia lupa kalau di akherat itu segala bentuk urusan dunia ada tanggung jawab nya...
adhimasdarujati;Makin ga masuk akal
kesuma6964;Jual aj sklian... 😂
ucy_sanusi;Kayanya bakal jadi kota mati da.
koetoekoepret210.08;Terus di obral murah😭😭😭😭😭 tapi masih sepi INVESTOR
bayu_benky277;inDONEsia All in Oke GasssCrot 💦💦💦
udafarhans;Gua mau aj si cuman takut nya bulan depan berobah lg😢😢
muaznr;Padahal umur rata2 manusia cuma 60 tahunan
fh.ryy;baru merdeka 79 tahun, eh udah digadai lagi ni negara😆 penjajahan secara teselubung..
echo.purnomo.988;Mudah2an org Kelimantan yg investasi di IKN, kalau gak 190 th masyarakat Kalimantan kehilangan tanah wilayahnya.
nuraman7209;Jgn mau percaya
helen_diah87;Semoga ganti untung ikn segera di bayar 😢
lilispardewi_andy;Di jaman Penjajah para pahlawan berjuang bertumpah darah demi menyelamatkan tanah Air, di Jaman REZIM lndonesia di obral untuk Asing dan Aseng
pusatsewabusjogja;Jogetin aja 🤣
anita.nurmadina;Obral obral GK laku. Yg beli tanah cma org dlm negri 😂
dwikurniawanarief;Saking bingungnya cari investor untuk IKN sampe² jualan tanah
achmad.sukirman;Kasihan presiden selanjutnya....
bs.reksoprodjo;Udah mau lengser aja masih bikin aturan yg merugikan rakyat dan negara 😢
cepyilham;Wong edzan
salman_al_fazry;wow
suheryanaakbar;Uhui, hancur deh jadinya 😂
muthalief91;Nangung pak 190th., H min 1 Kiamat donk biar mnyala
semut_merah549;Kok cuman 3 turunan, gak sekalian aja 7 turunan😂
djalalrenjaan;Atoooor aja joooi
susilopriyadi9;Ini bahayaaa...bahaya....
unang68;Asal teken saja gak mikir masa depan...menjabat 10 th seenak udel.
saumirmdn;😂
afronia21;Suka - suka u deh jok
erwinyazi;Jangan lahhh.... Entar negara gk ada kuasa macam Freeport...
refi_idris;Hijrahlahhhhhhhh kalian semuaaaaa😭😭😭😭
syamsalive;Guendeng 😂😂😂 akhirnya rakyat yg diperas buat bayar utang negara 🤣🙌🔥
mursidsanjani;Tanggung...sampai kiamat baru top markotop
jemi_ns364;Jual pulau aja🤣🤣🤣🤣🤣
anggaaa_0506;Hasil program suksesnya covid baru kelihatan
jinggakusumaputri;Kebijakan yg ngawur, emg ga ada pengusaha lagi apa.??
aljannah_sda;Kesalahan yang terus terulang,,kemajuan yang dipaksakan, kasus korupsi teken dulu hukum mati,,baru bangun negeri ini dengan baik
saifullah.moch;Bisa gak, Presiden itu dimintai LPJ soal pengelolaan anggaran negara yg terkesan tidak tepat sasaran.
firasyidoke;Nih presiden nya siapa sih , kayak gini amat
gusti_aw23;Kayanya yng pengibaran di ikn gk jadi nih
kang_djimo;Spill dong pengusahanya.....jangan2......jangan2.....jangan........
asepwilaheryana;apapakun yg diëakukan jokowi biarkan saja ..nanti juda ada endingnya....kita doakan tobat kakalu tidak diperlihatkan binasanya kaya firaun
masrachmad_josphone;Mau hdp brp th
mohamadmohamad9441;Dgvkonsesi 95 th awal.ni hanya menari para penggusaha yg sekala gede.tapi tdk terterah kenaikan harga konsesi pertahun.dan ni bisa naik harga sewanya bisa tiap th atau 2 th atau perlima th.dan ni pasti akan tejadi.
yusufza603;Di obral di obral😂
zenksri;Knp pak jwi skrng jd aneh ya kebijakanya? pdhal sblumnya sy pengagum beliau  skrng bnyk kecewa dgn beliau 😫 untung masanya sdh habis bener kata pepatah jabat ga boleh lama lama jadi kebablasan nikmatnya .
anggawiwaha;Mau 1000 tahun juga kalau gak ada potensi ya gak bakalan ada yg mau investasi. Kecuali ada klausa lain (yg menjanjikan) dalam perpres itu. 🤷
zan._kang;Tau kaan daya rusak nya..🤣
harianjaya2014;Pemgusaha pasti mikir 100 x,  lihat peraturan dan ketetapan bisa diubah se enak jidatnya. Sdh banyak contoh, sekelas MK aja bisa di ubah,,
ageng_feri;wow ngerik
ageng_feri;di akhir jabatan bikin kacau
rozik6786;Kok diam wakil takyat
bahri_sy4iful;Astaghfirullah
rahel_lucu;Uang nya yang perlu bukan aturannya😂😂
ahmad_fuadanwar;Kan perpres utk dia dan klrg n kroninya. Coba aja nanti di chek, siapa saja yg dapat konsesi besar disana.. kasihan masyarakat adat yg disana.. makin tersingkir dan termiskinkan oleh rezim kowi.
rohenksquad71;Jual aj sekalian , paham kan yg usaha siapa kalo bukan casing China dan turunannya , bukan rakyat indonesia asli ,
boenmabrur;Obral besar....tergadaikan sudah negriku nau'dzubilah
tsuprapti2888;Rakyat sdri diusir, dikontrak in sama orang asing. Piye to p wiwi,
aries.risnandar.r;190 tahun???😮😮
maspanda78;Makin dekket pulang kampung makin nggak jelas aja kebijakannya
agustriono61;Ediaaannnn
benitoardi;Bener gk berita ini, banyak yg meragukan kecuali ada foto/salinan Kepresnya ditampilkan disini kita baru percaya
fuad_ruchiyat;Betul demi ambisi bukan demi bangsa. Karna ibukota baru tidak darurat mas jokowi
ombro7979;Ya gak masalah
pujaa_aaaz;kalau berita ini bener berarti uu pokok agraria gimana tuu?? ga berlaku dong??
jogjaangkasasemesta;Presiden KONSLET...
kamilsiemin;Seakan tanah moyangnya sendiri 👎
youngnsuccess;Orang hidup aja paling juga ga nyampe 100th dikasih konsesinya sampe anak cucu sama aja beli hak.milik itu😂
donipurnomo90;produk hukum yg berbahaya
jefrie_hasibuan;Ngga 1900 tahun aja
harimaurj;Ah, besok juga di bantah perpres dgn perpres lagi, perpu apalagi undang undang
oeyanz;Sah dan resmi, Indonesia digadaikan! 😢😢😢
naufal.alwan34;Jika tak mampu jgan memaksa kata orang tua bgtu pak😂😂
adinoviyanto;Ente kadang² Ente,10 Thn lalu,mengadaikan tanah negara 190 thn😢😢
daniesbigger;Udh gtu yg kelola lahan bukan org Indonesia 😂 ..
atmamaymaron;udah palimg bener di arahin megawaty. sok sok an mau sendiri..😂😂 terakhir kalang kabut sendiri.. waahhahah.
rohmanbae60;Yah ujung2 di kuasai pengusaha ,terutama pengusaha asing.  Utang numpuk , rakyat tinggal gigit jari Saja.
d0n.yayak;Lhaaa
tokosenapananginrawamangun;Lah
dwiki_aruman;Dulu penjajahan atas nama perdagangan skrrg Penjajahan atas nama investasi
razahimovic;Salah satu strategi pemasaran klo produknya tidak laku adalah dengan mengobralnya besar2an. Gak dibuat 1 abad sekalian ta Pak?
samodrabangau;Berarti sama dgn menjual tanah dgn dalih investasi, bayangkan 190 th sdh brp generasi?
sellax;🤣
bangrizalgunawan27;Beban
hum_puss;TOLAK TOLAK
fikaaspandi;Ugal2an
ihsanfazle;"Diobral...obral ....discount besar""an....cuci gudang.....ayo...ayo...siapa yg mau....kalo bisa pak,plus bebas pajak juga"
masbettafish;😂 real kah?
ellyjr5;Wg meh pensiun  kq beri kebijakan yg melampaui
deddy_dian;Negara ini punya rakyat,bukan punya pemimpin,dan yg harus diingat bhw pemimpin digaji pakek uang rakyat,..😂
jejephotocopy;Bumi, air dan kekayaan alam yang terkandung didalamnya dikuasai oleh negara fakta nya air dikuasai Danone, tambang dikuasai asing, mana peran negara pantas rakyat sengsara di lumbung padi
dinzbreath0ven;Malah membingungkan
exaldominggos;Dia kira dia akan hidup abadi...😂😂
wkersono;Siapa yg berminat silahkan ajukan 👏❤️
solah799;HADIAH DR YG TDK BERJUANG REFORMASI.. 🤸🤸🤸🤸😅😃😂😂🤩🤸🤸😅😃😂🤩🤸🤸🤸🤩😂😃😅🤸🤸🤸🤩😂🤣😃😅😅😃😂🤩🤣
desen_stars;😂😂😂😂😂😂😂😂😂😂
safrielziwan;warisan untuk cucu kedepan😢😢
poetra_kambuno;Apakah presiden terpilih bisa mengganti Perpres tersebut nantinya?
reza_samisareng.group;😂😂😂😂
denunyill93;190 tahun??? Indonesia merdeka aja blm juga ada seabad 🤣🤣🤣🤣
peyeknisa;Bener prediksi the simpson. Kalau pulau kalimantan akan gabung dengan sulawesi. Dan jadi wilayah singapura
ramdanfadly_;Lma2 kok Kya jual beli ya
pandy6812;Nanti anak cucu mereka mengira tanah warisan kakek neneknya pasti jadi sengketa
budi_s51;Dulu kolonial yg menguras SDA  tanah Borneo..sekarang diobral penguasa.  Borneoku sayang..borneoku malang tempat kami dilahirkan.
sumurungsinambela;Pelan pelan Indonesia digancurkan
jho.yohan;Rusaaaaaak smua
_pak_bot_;Wis to awuten....mugo mugo panjang umur pak jokowi...besok yen wong kabeh mati kowe bakal urip dewe pak jokowi 😂😂😂😂😂😂
muhlisin_ibnu_muhtarom7;1900 tahun sekalianlah pak wi
ziovano.alfarez;Pantesan 1000 cara anaknya biar jadi wapres,😂saking ambisinya itu mas Owi😂😂
haddy_17;Blom genap 190 dah kiamat😂🙏🏻
spionaktive;😂😂😂
ballatansa;Keren banget ya Pak Presiden kita ini
billiesumarno;Berapa generasi tuh?
putrohadikartono;Diujung masa jabatannya habis mumet dia,  proyeknya tetancam mangkrakkk
mila_djamila;Astagfirullah reinkarnasi beraoa kali pak😂
opikalun;Mangkrak dong
lucasfayza;Bingung mau ngomong apah kedeer gua 🤣🤣🔥
aqu_ayyu;Iya boleh kelola lahan,,yg pengusaha nya china semua. 🤣
herrysusanto76;Nnt akan ada pembagian sertifikat gratis lg di IKN... AYOO SIAPA YG MAU...
dicky_20027;Abis dah lahan negara dijualin . Tanah lu bukan tapi si berkuasa
yan_addena;D film the Simson Pulau yg ada ikn'ya jd bernama singapur.
lasbsd;Apa beda nya dengan di jual ? Nanya aja.
riwantospd;Adanya negara tidak maju, karena banyaknya orang yang sentimen dan tidak berfikir positif bahwa semakin tahun akan semakin banyak perkembangan dan perubahan. Mari kita gotong royong buat negara maju dan berpotensi serta berbobot (Indonesia Raya Tumpah Darahku Darah Kita Semua) mari perjuangkan dan majukan negara kita yang sudah diperjuangkan oleh simbah²kita.
iamhasanbisri;Paraaah
youdieyp;Udh di obral aja di market place pasti laku tu wkwkwk
sodikin_arsitekrumah;Jumlah pilar sebanyak itu ada filosofinya?
nengsur100;Setiap PEMIMPIN AKAN MEMPERTANGGUNGJAWABKAN  SEMUA, DR YG KECIL SAMPAI YG BESAR, ingat itu, agar kita dapat menjadi PEMIMPIN yg takut akan hal tsb
muh_hafif11;🤣🤣🤣🤣🤣
fathan_gelap;Sungguh mengerikan sekali.....
unibikingindofrench;Udah kayak punya mbah aja
ra.fi3926;Pertanyaan nya pak sampai saat ini Uda ada apa belom investor yg masuk ke IKN 😂😂kalo mank ada coba jls kan sama rakyat 😂😂
farah2839;190 memang nya umurnya nyampek segitauuuu
arysantoso46;Mbok mikir..jgn maunya sendiri
swahyuni15;🤣🤣🤣
zarzyndicated;Presiden harus mempertanggung jawabkan perbuatannya di aherat
el_valencio;Sblm akhir jabatan biar dpt pesangon byk bikin pengusaha kaya makin kaya
gufron_abadi;Indonesia cEMAS
duniatiputipu1001;Jika Rata-rata umur 60 Tahun, maka 190:60 = 3,1. Berarti Tiga Generasi😂. Kalau Program laku  50 Tahun saja orang pasti berebut.
irnannotes;Edyannnn🙏🏻
malik_ibra0108;#jokowi  bayar hutang bro
zubel_sitorus;Parah ini kawan,Harusnya segera di lengserkan saja😭😭😭Negara kayak milik seorang, koq bisa, HARUS lengserrrr
rizqy_jaya_mandiri;58 persen pasti bangga....😂😂
nyono124;"Ga sampai""kiamat"" saja pak??...😂😂"
trimartayudarya;Berbagai cara untuk menyelamatkan diri agar tidak malu dikemudian hari karena IKN bisa bernasib seperti hambalang.😂😂😂
ziadarsyad123;Flas shale president bro
zaenimufid;Pengusaha full Discount.Rakyat Siap bantu byr pajak lebih😂
ronny_uwak89;Dengan kata lain itu lahan di jual😂😂😂
sinosuyitno;Proyek bakal mangkrak maka diobral
wjaya_k;1 negara vs 1 keluarga.
romlhy_613;Katanya banyak investor kata samsul 😂😂
simanragil;Rakyat dah di wakilkan DPR rakyat jelata cuma jdi penonton yg baik kadang masih di mintain bayar ini dan itu.
ratno.arema666;NKRI tanah nya sdh di jual x ya😂
lenshafmar;Ini yg 58% PD k,MN ya .. PD tenggelem semua
febrigasmb037han297;350 thn aj biar lamaan dikit
adri_panji;Nanggung nggak sekalian 1000 tahun
adauangsemuaberes;Demi kemajuan bangsa dan negara Indonesia
aldrian_anam;🤣 lama2 Indonesia milik owe
den_isal;Pengelolaan untuk memperkaya secara turun menurun. Semoga pengusaha umurnya panjang sd 190 thn 😂
ferd_ian1101;Yeaaayyy Freeport versi baru.. 😂
dedi.nugraha.1023;Wow.. apakah sdh terpikirkan kepres ini demi kesejahteraan rakyat beserta anak, cucu, cicit nantinya. Atau hanya demi kepentingan segelintir orang dan masanya hanya untul sesaat aja.. wallohualam.. 🤦🙏💪🇮🇩
hartoko_pratama;😮 gak 350  tahun sekalian  ta 🔥
my_litle_one;🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
satriarahmadanaci;Ngeriiiiiiiihhhhh x ahhhhh
komanggari;Enggak valid coy.
komanggari;Saat ini kan sdh ada pres terpilih jd sdh demisioner klo masih aja kluarin produk hukum ya enggak valid to.....kayak org gak pernah sekolah aj
bangkomar75;Yang katanya Freeport sudah 50% kok belum maju ini malah 190th ...😮😮😮😮
aswarigalih;Ini sama halnya di jual ke investor
petouring;"Dulu dijajah 350 tahun, sebentar lagi 190 tahun negara kita akan dikuasai ""penjajah"" ekonomi demi sebuah ambisi pribadi"
bintisokheh;Karepmu. Wws kadung rusak
yantoel46;Jangn 190 th, tanggung...😀
mlahmudin;190 th siapa yg jamin sdh berapa turunan
properti.in;Indonesia jadi negara singapura aja kalo presidennya kyk gini
the_logox;Edyaaan.. dikuasai sampai 7 turunan 😂😂😂
mujib_akhis;Acc
_ilalangkcl;😂😂😂😂😂😂
adi_imam_taufik;😮
farbadif;3-4 x generasi.... Keren sih 😂
awie_lim11;Obral krn gk laku bntr lg asing boleh beli tanah murah dsna
riyantiabdu;190 tahun itu bisa sampai 3-4 turunan.
arihas99;Pengusaha UMKM dan rakyat bisa kah? Atau hy konglomerat dan asing ini...
ida_martini;Ya ampunnn
dedsecxasassins;Dana dari mana ? Mungutin pajak rakyat lsgi
ahmad_ijuriansyah;pengusaha dari mana ?
ikinlive;Supaya apa coba?
fahrul6871;Kaya yunani kuno wkwkkw
harianggara89;Gak laku di paksa ini itu sampai merugikan indonesia
_inotbae_;Selamat tinggal INDONESIA welcome NUSANTARA
ajiihihi;😂😂😂😂😂 ketawa dulu lah
slametwidodo.sw;Saya mau Pak...ga usah banyak2 50Ha aja mau saya pakai tempat wisata pemancingan
ilmi_alfarizie18;Akibat sefi uy 😮
hanzbig86;Jual semua pulau aja pak demi IKN mu...
dhie581;Sekalian aja perpres buat pemakaman buat investor IKN.😂😂
sprd17;Makelar tanah
umkpertashop;7 generasi
patiroy_jr;ngutang lg..
endy_yakuza;Aslinya ini pro rakyat apa pengusaha sih???😢
inter_audio_karaoke_;😂
jvragan_mulia;Gendeng
azharlimbong;suka2nya aj
jvragan_mulia;Anggota DPR nya tidur atau dapet jatah ? Pada diem semua
ashari_181;😂😂😂😂😂😂
is.nox;Obral
muhammadthahir28;😂😂😂
izzuky;Khontholodon
kuzrac_kill;Tau kan kalo di obral terus tandanya apa?tanda kurang peminat nya
herryhlm;Wuarrr biasa ngobralnya....menyala Presidenku 🔥
abdulmugni21;😂😂😂 saking gak laku
darusheru;Wadooouh.....ini model apa lagi.... ini negara nya orang banyak lho 😂
sunarno3912;Kayak tanah Indonesia itu milik jokowi😂😂😂😂
jeanu_r;Busyet 190 tahun? Umur manusia ga sampe segitu, diturunkan ke ahli waris, pd berebut. 😂
tcramadhani91;Sampai anak keturunan nya semua jadi orang penting semua,, walaupun ndak penting² amat sih
betet.adiningrat;Di obral nih kebon kosong gw 😂
suwito2965;Istana wakanda
doamakbull;Jokowi masa jabatannya mau habis tambah gimana ya, makin hari makin tua aja..
agoenkkccssxx;Diobral2 promo besar2an yg penting laku, kalo tetep ga laku??.....😂😂😂
nk_puertoqerto;Parah
arahmanhakim25;Bagoyyyy nepi k anak incu jeng cicit etamah
bemby347;Kalau IKN bagus buat investor buat apa ngemis buat HGU Sampai 190 tahun😂😂,Jokowi lebih lucu di banding Mister Bean😂😂,perbaiki dulu sistem hukumnya ngapaian sampai di obral2 konsesi HGU sampai 190 tahun😂😂
dedesaifulmumin;Demi apa jok kau korbankan semuanya demi ambisimu sendiri ...
anandiiy;ancur
ambar_suyadi5727;Sambil pesan begini, jangan lupa dengan anak cucu saya 😂
abu.haniefa;Ngacoooo😢
lukman.uyuk;Bajigur tuluy😂
sonic_youth_86;Udah pusing gue
yulianto_1976;190 tahun ?? Udah kayak VOC aja
mahardikasopian;presiden golongan 58% 😂
erwinps6835;Seratus sembilan puluh tahunnnnnnnn😮😮😮😮😮😮
hengkyaseng;Panik panik panik investor antri katanya
yadi2185;Obral
rosaalina_08;😢😢😢😢
thedukerz;Biaya pembangunan di ikn tinggi sekali. Bayangkan dalam sebulan cm 7 hari cerah, sisanya 23 hari hujan parah.
agnesyia_yoanna;Ya Allah ni orang diakhir masa jabatannya isinya dari keburukan satu ke keburukan yg lainnya.😮
dedisumardi14;Awokawok
