akun;text
benuatranssumatera12;Ayoo Sultan Indonesia, patungan kumpulin modal sama2 kelola HGU di ikn.. Dari pada jatuh ke asing... Karna pemerintah sudah tak ada uang...tetapi masih memaksakan keadaan... 🤦‍♂️
lingjagat_foto;Memaksa bgt 😢😢😢
mukhlis_noza;HGU sampai mati, sambung lagi ke anak n cuci😂😂😂
gusti_djimbrons;Coba di kota2 besar gitu tinggal bangun aja tanah orang dan tempatin 190th kan enak🔥
wati_wara;Benar2 proyek diluar nurul. Menyediakan syurga utk asing aseng dan neraka utk pribumi
firmansyah107;Investor dikasih, rakyat masih banyak yg gak punya rumah, pada ngontrak, bahkan tidur dijalan, gak dikasih itu HAK Guna tinggal bagi rakyat kurang mampu.. 👀
rezekinp_;Kyk nya miring dah tu bangunan
rajasuwanti;Tiap lihat org ini sy hanya mau maki saja😢
tika_tika67;pegadaian
alizeallegra;Maksa bgt ya😂
moustache23456;😏
novi.rozana;Yoh ... dipilih ... dipilih ... dipilih 😡😡😡
omahabang257;Ok gass ok gass😂😂😂
mibnuharis;@jokowi klo g ad uang g usah maksain
bharyanto99;😍😍😍
aunksyakur;D luar nalar ap Nurul Mukidi nih
wan_ishak_tahir2018;Buset tanah di IKN mau di gadaian hampir 2 abad
metals2004;Aku ora gelem
yusupsarch;190 th mah ngasih
abi_yoman;
hedi.setiadi;😂😂😂😂😂
dafrilarf_;Presiden terbaik sepanjang maksa😍 eh masa
ora_usah_ngerti1;190 tahun....anjirrr....kiamat
tamancokjapeng;Mang tanah itu milik nenek moyang loe
fikriarianiii;😂😂😂😂😂😂😂😂😂😂😂
nyono124;"Ngapa ga sekalian sampai ""kiamat""?...😂😂"
tammyrafipratama;Astagfirullah
jogjaangkasasemesta;JANGAN sampe TERJADI. Mending kita usir Jokowi dr IKN
al_qym977;Jual lahan berkedok HGU 😂
ferdy_.dy;Penjajahan bergenre modern 😂
alvin_hadiwono;190 tahun itu 3 generasi. Kasih aj sekalian.
alvin_hadiwono;Gagal meras rakyat dg Tapera, akhirny dikasih ke asing. Yg penting ad orang yg menghuni. 🙂
utamisriwidyaningrum;lengser
miswleo;Sudah kaya di jual itu namanya
affanali923;Kata kemarin investor akan masuk saat sudah berkembang,ini jadi bingung
eka_131180;Semoga diberikan hidayah...
zulfah8013;Udh trlalu brlebihan smpe muntah nih org smg Allah murka..
lela.nur512;Udahan kali main presiden2 nya
cas_mitha10;Saking pengen laku nya...ini kereeenn sihh ide jualannya...
m.satria11;Pahlawan berjuang berkorban nyawa demi tanah air eh sampe sini di jual untungnya ntah kemana 😂
ottosan_;Sok2an ngambil freeport tp malah buat freeport part 2 ni org😂|@ottosan_ buktinya aja blm ada kalo Freeport milik kita|@abay_milan nanti bang kalo emasnya udah abis|@ottosan_ uu itu bahaya gan|@ottosan_ itu cuma strateginya freeport biar nanti kalo cabut dari Indonesia, rakyat sekitar menuntut atas kerusakan alamnya ga ke freeport tapi ke pemerintah Indonesia|@ottosan_ 😂betul jugaa.. pengen di kenang sbg pleciden terbaik tp justru terburuk wkwk
riskianandaa_;Pahlawan nasional mempertahankan tanah air smpe rela mati di medan perang, sekarang malah diobral flash sale 😭😭
johnsonmartahan;Masih ngotot mau upacara 17an tahun ini di IKN?😂
erwiindotcom;Aku kira Leader , ternyata Dealer..
sunu_wibirama;Calon mangkrak kui lur… lihat aja…|@awankudo apbn udah habis 🗿|@sunu_wibirama nyumpahin amat bro,|Baca berita deh. Investor belum masuk, ijin tanah masih belum beres. Saya jg belum lama ke Kalimantan, jd lihat data lapangan
adjihendy;Luar biasa...dampak nya hampir 2 Abad!
pankber;penentuan lama nya HGU ini ada UU nya kah?atau sesuka hati Presiden saja?
djagadfoto;Duuuh. Dulu aja Belanda nggak segitunya.
arfzulfikar;Sejarah berulang, dulu VOC bersekongkol dgn tuan tanah. Nah, hari ini tuan tanah buka pintu buat VOC 🫵🏻😖|@arfzulfikar pak @jokowi mohon dipertimbangkan lagi, jangan sampai sejarah mencatat setelah 350 tahun “dijajah” belanda nantinya ada 190 tahun “dijajah” investor IKN|@arfzulfikar maksudnya tuan demang ya😂|@arfzulfikar terang menderang lg anak negeri terjajah lg😮😮
rist_yanto;Kekuatan merusaknya melebihi pendahulu nya....😢|@rist_yanto owi the destroyer
dodiknurrohiim;Bukannya kita baru merdeka 78 tahun yak.?|@dodiknurrohiim nice 👏 gatau 95 thn kedepan bakal masih going concern atau tidak. Bukan hanya lama sewa saja jadi pertimbangan, tapi seberapa cepat modal kembali dan menghasilkan profit|@dodiknurrohiim tenang aja si, kita udah p3ngalaman 350 ngab.😂
benztotto;Londo Ireng ini ternyata....
padiinterior;Ganjil bgt, pas in 200 lah😂|hitungan 10 tahun komisi buat yg nawar lur.  Tanda2 Alam bgth nyata 😂|Kan habis tawar menawar trus diskon 😂😂😂😂
